,Name,text
925,Chambord Margarita, add all ingredients to a cocktail shaker halffilled with ice cubes shake well and pour over ice in a saltrimmed margarita glass serve     aged tequila    orange liqueur    raspberry liqueur    sours
926,Chocolate to Die For, pour the chocolate vodka over ice in an oldfashioned glass add cream soda ibc preferred and serve     cream soda    chocolate vodka
927,Cina Polada, blend with  cups of ice until smooth pour into hurricane glass and garnish with pineapple wedge and banana slice     op rum    banana schnapps    pina colada mix
928,Cristianne, pour blue curacao in a champagne flute followed by vodka and white wine then pour grenadine dont shake it     blue curacao liqueur    vodka   white wine    grenadine syrup
929,Category 5, shake ingredients in a cocktail shaker with ice pour into glass     white rum    spiced rum    dark rum    peach liqueur    grenadine syrup    orange juice    apple juice    sours
930,Cold Kentucky, fill collins glass with ice then add amaretto and southern comfort fill with pj and add a splash of oj to top it off     almond liqueur    peach liqueur   splashs orange juice    apple juice
931,Cherry Bomb 8, pour the amaretto and midori into a highball glass filled with ice cubes add cranberry juice to fill stir well add a straw and serve     almond liqueur    melon liqueur      cranberry juice
932,Chambord Royale, shake ingredients with ice strain into a martini glass and serve     vodka    raspberry liqueur   triple sec    lime juice
933,Chris` Flaming Skull, mix equal parts of baileys irish cream butterscotch schnapps and dekuyper hot damn in a mug stir well with a spoon heat in the microwave until warm and garnish with a cinnamon stick     irish cream    butterscotch schnapps    cinnamon schnapps
934,Cuban Lemur, pour bacardi  rum over ice in a highball glass add an equal amount of cocacola squeeze in  lime slices and serve     op rum    cola   slices lime
935,Atlantic Sun, shake all the ingredients top the drink with soda garnish with a slice of orange    cl vodka   cl peach liqueur   cl passionfruit syrup   cl sours   dashs club soda
936,Cool Kid, pour ingredients in a hurricane glass mix it up and serve    parts tequila   parts vodka   parts lemonade
937,Coast Colada, blend all ingredients together in a blender pour into a hurricane glass garnished with a slice of starfruit and serve     white rum    melon liqueur    pina colada mix   bananas   scoops crushed ice
938,Creative Native, add all liquid ingredients in blender and set on frappe till the drink is the consistancy of a smoothie you can serve this in a frosty hurricane glass and top off with whipped cream as desired     white rum    coffee liqueur    irish cream    cream  cracked ice    whipped cream
939,Conn`s Fruity Beverage, combine crushed ice tequilla and rum in a blender add grenadine orange juice and lemon juice add margarita mix to taste for flavor blend for a little while then pour into hurricane glasses     tequila    rum   cupss crushed ice    orange juice   splashs lemon juice    grenadine syrup  margarita mix
940,Comfortable Fuzzy Screw, pour the vodka southern comfort and schnapps  peach schnapps into a highball glass fill mostly with orange juice and serve     vodka    peach liqueur    peach schnapps    orange juice
941,The Crypt, pour all ingredients except  rum into a cocktail shaker shake and strain over ice in a tall glass float the  rum on the top and serve     gin    peach liqueur    almond liqueur    vodka    triple sec   splashs op rum   dashs lime juice
942,Cinnamon Stick, pour goldschlager into a glass add juice  apple juice mix and serve     cinnamon schnapps   cupss apple juice
943,Creole Lady, pour all ingredients into a mixing glass halffilled with cracked ice stir well strain into a cocktail glass garnish with both a red and green maraschino cherry and serve     bourbon whiskey    madeira   tsp grenadine syrup
944,Cognac Zoom, dissolve honey in water and allow to cool shake with cognac and cream and strain into a cocktail glass     brandy    whipping cream   tsp honey    hot water
945,Coffee Cocktail, shake all ingredients well with ice and strain into a small wine or port glass dust with nutmeg and serve     brandy    red port   egg   tsp sugar
946,Alebrije, first mix some orange juice and pinjuice  apple juice in equal parts and color it with some grenadine as sweet as you want this is conga mix fill the glass with ice add the five licours and mix them fill the glass with some conga mix and enjoy   ice   splashs grenadine syrup   vodka    white rum    almond liqueur   gin    white tequila    orange juice    apple juice
947,Cocoa Chanel, shake with ice strain into a cocktail glass and garnish with a maraschino cherry     brandy    white chocolate liqueur   almond liqueur    coconut milk   cherry
948,Cancun Rum Runner, combine all ingredients in a cocktail shaker halffilled with ice cubes shake for a few seconds pour into a highball glass garnish with a pineapple slice and cherry and serve     op rum    gold tequila    spiced rum    spiced rum   dashs grenadine syrup    orange juice    apple juice    banana liqueur
949,Cayman Sunset, fill a highball glass half way with crushed ice add light rum and piãƒæãâa colada mix then fill with juice  pinejuice  apple juice stir add grenadine in the middle of the drink and let it settle on the bottom do not stir the grenadine garnish     white rum    grenadine syrup   pina colada mix    apple juice
950,Canteloupe Dizzy, pour club soda into a parfait glass with ice cubes pour vodka melon liquer and schnapps  peach schnapps into a shaker and shake well strain into the club soda and stir garnish with cherryorangepineapple     vodka    melon liqueur    peach schnapps   pints club soda
951,Crimson Martini, shake ingredients together with cracked ice in a cocktail shaker strain into a chilled cocktail glass garnish with a lime twist and serve     red port   tsp lime juice   tsp grenadine syrup
952,Cuban Sour, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     rum    superfine sugar    lime juice
953,Creamy Soda, add ice to highball glass add coconut rum and banana liquor fill glass with up top with grendine garnish with cherry     coconut rum    lemonade   dashs grenadine syrup    banana liqueur
954,Chartini, shake ingredients in a cocktail shaker with ice strain into a cocktail glass     raspberry vodka    raspberry liqueur    champagne
955,Caribbean Splash, combine all ingredients in a blender with ice blend well and pour into two seperate wine glasses and serve     coconut rum    peach schnapps    bananas    orange juice
956,Charon, shake all ingredients with ice and strain into a glass     vodka    cherry brandy    orange juice
957,An Arif, combine everything together in order it is listed you may add koolaid mix if desired but make sure to add the lemon juice last it is called an arif because it will tend to block your nuts from getting off if you have too many of these     peach schnapps    orange juice    cranberry juice    ginger ale   tbsp lemon juice
958,Cape Brenton Slide, add drambuie to a poussecafe glass use a knifespoon to drizzle the shot of irish cream so it layers on top and serve     irish cream    scotch whiskey
959,Cape Cod 2, stir ingredients together in a collins glass halffilled with ice cubes and serve     cranberry vodka      cranberry juice
960,Cape Sunrise, pour the malibu rum over ice cubes in a highball glass and fill with guava juice stir drizzle grenadine on top and serve     coconut rum   tbsp grenadine syrup  guava juice
961,Cape Cod Sour Squishy, pour the rum puckers sour mix and cranberry juice into glass over ice toss then fill the rest of the way with up     white rum    apple schnapps    lemonade    cranberry juice    sours
962,Cape Grape, build over ice in a highball glass     vodka    cranberry liqueur    grapefruit juice
963,Cape May, measure a collins glass full of ice into a cocktail shaker add brandy gin and orange juice to the shaker and shake well pour back into glass and add ginger ale garnish with an orange wedge     gin    cherry brandy    ginger ale    orange juice
964,Comfort Driver, pour orange juice over  ice cubes in a highball glass add southern comfort and stir lightly     peach liqueur  orange juice   ice cubes
965,The Crown Cherry, mix all together in glass with ice     canadian whisky    cherry brandy   cherry vodka   cans cherry cola
966,Classic Screwdriver,the screwdriver is a timeless cocktail that has earned its status as an official cocktail of the international bartender association while the exact origin of the screwdriver is debated it has been mentioned in literature as early as  during the rise of vodkas popularity in the united statesthere are a few stories surrounding the drinks origin some credit american aviators for popularizing the screwdriver while others claim it gained popularity among american oil workers in the persian gulf who allegedly mixed vodka with orange juice and used a screwdriver to stir it when a spoon was unavailable although these origin stories may be questionable its easy to imagine this simple twoingredient beverage being created independently in various places around the same time after all the concept of mixing fruit juice with a spirit was not new considering the popularity of the mimosa with sparkling wine and orange juicethe beauty of the screwdriver lies in its simplicity and its role as a morning eyeopener combining vodka and orange juice in a highball glass requires minimal effort and creates a versatile base for experimentation this simplicity has paved the way for other cocktails like the harvey wallbanger and fuzzy navel which build upon the screwdrivers foundationnext time youre hosting a brunch or in need of a refreshing pickmeup try this classic version of the screwdriver rediscover why this cocktail has become an essential part of any cocktail drinkers repertoire and enjoy its easydrinking appeal fill a highball glass with ice then add the vodkatop with the orange juice     ounces vodka  orange juice
967,Comfortable Fuzzy Screw Against the Wall, pour the vodka southern comfort schnapps  peach schnapps and galliano into a highball glass fill with orange juice and serve     vodka    peach liqueur    peach schnapps   splashs herbal liqueur    orange juice
968,Attitude, stir garnish with a lemon and lime slice     almond liqueur    peach liqueur    lemon vodka    melon liqueur    gin  fill with orange juice   splashs cranberry juice
969,Cranberry Smash, build over ice in a cocktail glass     vodka    cranberry juice    ginger ale
970,Creamsicle, pour all ingredients into a collins glass over ice cubes stir and serve     vanilla liqueur    orange juice    milk
971,Cowboy Killer, pour tequila baileys irish cream and butterscotch schnapps into a cocktail glass add ice and halfandhalf pour into a shaker shake to mix and pour back into the glass garnish with a cherry and serve      tequila    irish cream   butterscotch schnapps  fill with halfandhalf
972,Caribbean Screwdriver, obviously this is not a drink for a small glass mix and shake ingredients in a shaker glass with ice strain the mixture into a tall glass garnish with a cherry if you feel so inclined     peach schnapps    creme de bananes    coconut rum    orange juice    apple juice   cream
973,Calming Draught, mix irish cream and warm milk serve in an irish coffee mug sprinkle with cinnamon and nutmeg     irish cream    milk   pinchs cinnamon sugar   pinchs nutmeg
974,Cherry Chocolate Milk Royal, in a large milkshakeshape glass  pour the vodka cherry juice  cherries chocolate syrup and cold milk stir the mixture carefully with a chopstick being careful not to spill until the syrup has dissolved add a flexible straw top with whip     vodka    milk   tbsp chocolate sauce   cherry    whipped cream   tsp chocolate   tbsp cherry juice
975,Carrie`s Pink Blossom, fill glass with ice mix tequila rose amaretto and milk can also add a splash of soda to make fizzy     almond liqueur    strawberry cream liqueur    milk
976,Chocolate Leprechaun, combine ingredients in a collins glass and stir well     irish cream    milk   tbsp chocolate sauce
977,Campari Milkshake, pour cold milk in a pot slowly add orange juice finally add campari stir really well put ice cubes in glass and pour in the milkshake garnish with a slice of orange serve with a straw after making this drink try alternating the amount of campari    cl milk   cl orange juice   cl bitters   ice cubes   slices oranges
978,Chocolate Milkshake, pour all ingredients into a cocktail shaker halffilled with ice cubes adjust amount of milk if desired shake well strain into a cocktail glass and serve     creme de cacao    coffee liqueur   irish cream    milk
979,Aztec Surfboard, shake and strain into an icefilled collins glass     gold tequila    brandy   tsp blue curacao liqueur    grapefruit juice    mango juice    passion fruit juice   tsp orgeat syrup
980,Corey`s Oatmeal Cookie, pour baileys irish cream and butterscotch schnapps into a cocktail shaker halffilled with ice cubes add a couple of dashes of cinnamon shake well and strain into a cocktail glass dust wth cinnamon and serve     irish cream    butterscotch schnapps   tsp cinnamon sugar
981,Cotton Candy, add butterscotch schanapps and mountain dew to ice cubes in a collins glass stir and serve     butterscotch schnapps  fill with citrus soda  ice cubes
982,Chocolate Raspberry Brownie, fill the glass with ice cubes pour in the liqueurs and then top with cream garnish with chocolate shavings on the top     coffee liqueur    raspberry liqueur    cream  ice cubes
983,Cobra, pour ingredients into a rocks or oldfashioned glass filled with ice garnish with a lime wheel or squeeze and serve     coffee liqueur    squash
984,Creamy Tan, add ice and all the ingredients into a shaker and shake well then serve in a large glass     coffee liqueur    irish cream    coffee liqueur    whipping cream   cups milk   glasss ice
985,Carla, shake briefly with a glassful of crushed ice and pour into a wine glass add lemonade and garnish with a slice of orange     gin    orange juice    passion fruit juice    lemonade
986,Carnegie Sunrise, combine all ingredients in a blender strain into a collins glass and serve     vodka    tequila   cans orange juice    tomato juice   strawberries
987,Caribbean Sunset, combine melon liqueur and malibu rum together in a hurricane glass slowly pour cranberry juice on top until it fills half the remaining space float orange juice on top and serve     coconut rum    melon liqueur    cranberry juice  orange juice
988,Cazuela, in a cazuela that is made of clay put ice salt lime orange lemon and grapefruit add grenadine tequila and fill with squirt use a straws to shake and serve     tequila   dashs salt   slices lime   slices oranges   slices grapefruit   slices lemon   tsp grenadine syrup  fill with citrus soda
989,Chilly Willy, pour into shaker fill with orange and juice  pinejuice  apple juice shake well     melon liqueur    coconut rum    peach schnapps  orange juice  pineapple juice
990,Apple Blossom, pour ingredients into a mixing glass almostfilled with ice stir and strain into an oldfashioned glass over ice garnish with fruit and serve     brandy    apple juice   tsp lemon juice   dashs vodka
991,Cran-Ram, combine rum and cranberry juice first add a splash of sunny delight may drink with crushed ice if preferred    parts coconut rum     parts cranberry juice   splashs orange juice
992,Cornholio`s Revenge, pour the malibu rum banana liqueur and cherry brandy add the ice and sprite add lime wedge and serve     coconut rum    banana liqueur   cherry brandy  ice cubes   lime  top with lemonade
993,Crazy Monkey, combine all ingredients in a blender or island oasis machine blend and serve in a hurricane glass top with whip cream and garnish with a strawberry and orange     banana liqueur    strawberry daiquiri mix    orange juice
994,Croc Punch, fill glass with ice add liquors fill nearly with sprite and top off with lime juice     melon liqueur    creme de bananes   vodka    orange liqueur  lemonade  lime juice
995,Cornwall-Nash, pour the rum gin triple sec and grapefruit juice into a highball glass almost filled with ice cubes stir well drop the cherry brandy into the center of the drink garnish with the cherry     white rum    gin   triple sec    grapefruit juice   tsp cherry brandy   cherry
996,Cuban Sunrise, shake rum and oj with ice add grenadine to highball glass and swirl it around the bottom and  the way up the sides add ice and strain rum and oj into glass works best with real cuban rum if you can get it     gold rum   dashs grenadine syrup    orange juice
997,Cherry Long Island, shake all ingredients except sprite in a pint glass with ice then top with sprite garnish with a lemon wedge and a cherry     white rum    gin    cherry vodka    triple sec    cherry juice    sours    lemonade
998,Cosmo Killer, combine all ingredients in a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     vodka    grape schnapps    coconut rum
999,Cary Grant, fill a tumbler or oldfashioned glass with ice squeeze juice of one lime or less to taste then pour equal parts of tia maria and vodka mix well and garnish with a lime wedge originally drank by cary grant from whom it took its name     coffee liqueur    vodka   juice of lime
1000,Chocolate Heart, add a few ice cubes to a highball glass pour in frangelico and kahlua then drop in a maraschino cherry remove the stem pour the cream down the sides of the glass and stir lightly before serving     white creme de cacao    hazelnut liqueur   coffee liqueur    cream   cherry
1001,Apple Car, shake well over ice in a shaker strain into a sour glass garnish with a cherry and serve      brandy    triple sec    lemon juice
1002,Cyclone Attack, layer both ingredients in a cocktail glass and serve     lemon juice    blue curacao liqueur
1003,Cossak, add liqueur after filling glass with preferred amount of milk vodka can be excluded for a milder drink     vodka    coffee liqueur    chocolate liqueur   cups milk
1004,Cunning Stunts, shake ingredients with a handful of ice and pour everything including ice into highball glass     champagne    bourbon whiskey    vodka
1005,Coconut Orange, pour the malibu coconut rum into a highball glass filled with ice cubes add the orange juice and stir garnish with a slice of orange on the rim and serve     coconut rum    orange juice
1006,Cherry Flip, shake all ingredients except nutmeg with ice and strain into a whiskey sour glass sprinkle nutmeg on top and serve     cherry brandy   tsp tsp superfine sugar   tsp light cream   egg  nutmeg
1007,Cowboy Cocktail, pour both ingredients into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     scotch whiskey   tbsp light cream
1008,Carmel Apple Spritzer, shake ingredients in a cocktail shaker with ice strain into glass garnish with an apple slice     vodka    hazelnut liqueur    apple schnapps    butterscotch schnapps    ginger ale
1009,Chambord Colada, pour all ingredients into a highball glass stir vigorously and serve     raspberry liqueur    white rum    apple juice    coconut cream
1010,Columbia Gold, blend well with large scoop of ice      canadian whisky    strawberry liqueur    orange juice
1011,Crawdaddy, pour vodka and lemonade into a highball glass top with the soda garnish with a slice of lemon and serve     vodka    lemonade   splashs soda water
1012,Apple Jack, blend ingredients in a mixing glass serve on the rocks in a cocktail glass     bourbon whiskey  fill with apple juice
1013,Chicago Fizz, shake all ingredients except carbonated water with ice and strain into a highball glass over two ice cubes fill with carbonated water stir and serve     white rum    red port   juice of lemon   tsp superfine sugar   egg white  soda water
1014,City Rickey, pour gin lime juice and cointreau into a highball glass threequarters filled with ice fill with equal parts of cranberry juice and soda and stir garnish with a slice of orange and lime and serve     gin    lime juice    orange liqueur    club soda    cranberry juice
1015,Canadian Daisy, pour the whisky lemon juice and raspberry syrup into a cocktail shaker halffilled with ice cubes shake well and strain into a highball glass almost filled with ice cubes fill with sparkling water float the brandy on top garnish with a few raspberr     whiskey   tsp brandy   lemon juice   tsp raspberry puree    soda water
1016,Chocolate Snow Bear, combine all ingredients in an electric blender and blend at a low speed for a short length of time pour into a chilled champagne flute and serve     almond liqueur    creme de cacao    ice cream    chocolate sauce   dashs vanilla extract
1017,Crusta, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well strain into a sugarrimmed cocktail glass and serve     brandy    lemon juice   tsp maraschino liqueur   tsp orange curacao liqueur   dashs bitters
1018,Captain OJ, build over ice in a highball glass     spiced rum    orange juice
1019,Creole, shake all ingredients with ice strain into an oldfashioned glass over ice cubes and serve     white rum   tsp tsp lemon juice   dashs tabasco sauce  beef bouillon  salt  pepper
1020,Canadian Blackberry, pour the whisky brandy juices and sugar into a cocktail shaker halffilled with ice cubes shake well strain into an oldfashioned glass  filled with ice cubes and serve     whiskey    blackberry brandy   orange juice   tsp lemon juice   tsp superfine sugar
1021,Canadian Cherry, shake all ingredients and strain into an oldfashioned glass over ice cubes moisten rim of glass with cherry brandy and serve     whiskey    cherry brandy   tsp orange juice   tsp lemon juice
1022,Choco Banana Smash, combine the irish cream vanilla extract light cream vanilla ice cream and banana in a blender with one small scoop of crushed ice blend until smooth pour into a parfait glass and top with whipped cream and chocolate sprinkles garnish with a marasc      irish cream    vanilla extract   light cream   scoops ice cream   bananas    whipped cream
1023,Aviation Gin Riblet,a delicious cocktail that tastes like aviation gin and a bloody mary made love in your mouth introducing the gin riblet in a cocktail shaker with ice add tomato juice bbq sauce a squeeze of lemon juice and ginshake and strain into your glassgarnish with pickle and an onion      tomato juice    bbq sauce   squuze lemon juice    gin   pickle  cocktail onion
1024,Apfel Orange, mix the ingredients add a couple of ice cubes put a slice of orange or lemon any fruit will do on the rim of the glass    cl apple liqueur   cl vodka   cl orange juice   cl lemonade
1025,Choco Buca, shake ingredients in a cocktail shaker with ice strain into a cocktail glass     vodka    sambuca    white creme de cacao    cream
1026,Coconut Dream, shake well over ice cubes in a shaker strain into a cocktail glass and serve     white creme de cacao    banana liqueur    coconut cream    cream
1027,Choco Colada, shake liquids well over crushed ice in a shaker strain into a large highball glass over crushed ice sprinkle with grated chocolate and serve     dark rum    white rum    coffee liqueur    chocolate sauce    coconut cream    milk    cream  chocolate
1028,Comfortable Mariah, fill glass with ice add all liquid ingredients and mix well garnish with a lime wheel and cherry     peach liqueur      cola   splashs cranberry juice   splashs orange juice
1029,Crazy Huey, shake ingredients in a cocktail shaker with ice strain into a cocktail glass and garnish with a slice of orange    vodka   madeira   orange juice
1030,Crazy Jew, fill your nice cold beer mug with ice mix all liquors then add juices shake it up and serve it to your best customers when they ask for something new strong and sweet     vodka    apple schnapps    blackberry schnapps    peach schnapps  cranberry juice  orange juice
1031,Crazy Parrot, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well and strain into a cocktail glass garnish with a maraschino cherry and serve     coconut rum    op rum    apple juice    cranberry juice
1032,Crazy Cocktail, combine all ingredients together in a collins glass filled with ice cubes stir well and serve     coconut rum      raspberry schnapps      melon liqueur    lime soda    apple juice
1033,Crazy Caribbean Gentleman, mix frangelico rum and sour mix in a shaker with ice shake and pour into glass     op rum    hazelnut liqueur    sours
1034,Apple Sunrise, pour each ingredient in order into a collins glass stir gently and serve      dashs lemon juice    blackcurrant liqueur     brandy     orange juice
1035,Crazy Cat, in a shaker put ice add both rums one splash of up or sprite  splashes of cranberry juice and shake pour into a large cocktail glass garnish with a cherry     spiced rum    coconut rum   splashs lemonade   splashs cranberry juice
1036,Crazy Orgasm, pour all ingredients into a collins glass filled with ice cubes stir well and serve     vodka    triple sec     orange juice     cranberry juice   pinchs sugar
1037,Cherry Shake, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well strain into a highball glass and serve     cherry brandy    almond liqueur    irish cream   splashs lemonade
1038,Crazy Finn, pour all ingredients into a highball glass filled stir well garnish with a maraschino cherry and serve     vodka    sherry    orange liqueur   dashs lemon juice
1039,Cold Shower, use  part of creme de menthe with  parts club soda serve in a tall glass and stir    parts green creme de menthe   parts club soda
1040,Charles Bronson, combine all whiskeys together in a   mug glass with about  ice cubes fill the glass with any brand of birch beer and serve     bourbon whiskey    bourbon whiskey    bourbon whiskey    rye whiskey    bourbon whiskey    bourbon whiskey    birch beer
1041,Canyon Quake, pour the irish cream brandy amaretto and light cream into a cocktail shaker halffilled with ice cubes shake very well strain into a brandy snifter and serve     irish cream    brandy    almond liqueur    light cream
1042,Crimean Cocktail, stir and strain into a cocktail glass add the soda garnish with two cherries on a stick and serve     dry white wine    orange liqueur   lemon    soda water
1043,Candida, shake well and strain into a champagne saucer filled with crushed ice     brandy    licorice liqueur    whipping cream    egg
1044,Crooked Sister, stir and strain into an oldfashioned glass threequarters filled with broken ice garnish with a cherry and a slice of orange     orange liqueur    gin    white creme de cacao
1045,Apple Jack (Original), mix in glass on the rocks    parts bourbon whiskey   parts apple schnapps   parts sours   parts club soda
1046,Chatham Cocktail, pour the gin ginger brandy lemon juice and sugar into a cocktail shaker halffilled with ice cubes shake well and strain into a chilled cocktail glass garnish with a piece of candied ginger and serve     gin    ginger brandy   lemon juice   tsp superfine sugar
1047,Cosmo Kurant, combine all ingredients in a cocktail shaker halffilled with ice cubes shake well and strain into a cocktail or martini glass garnish with a lime wedge on the rim and serve     blackcurrant vodka    orange liqueur    redcurrant juice    raspberry juice    lime juice
1048,Cordial Cherry, pour amaretto and coquila liqueur into a cocktail shaker halffilled with crushed ice shake until chilled pour into a wine glass and add tequila rose cream liqueur sprinkle dark chocolate shavings on top for garnish flavor     almond liqueur    tequila liqueur    strawberry cream liqueur
1049,Cordial Cooler, muddle rockmelon and pineapple chunks with sugar in the bottom of a highball glass add bacardi white rum and a few ice cubes top with orange squash premixed with water as per normal cordial ratio     white rum   rock melon   pineapples   tbsp sugar  orange squash
1050,Coffee Colada, blend briefly with a glassful of crushed ice in a pina colada glass garnish with a slice of pineapple and a cherry add straws and serve      white rum     coffee liqueur     coconut cream    apple juice   tsp whipping cream
1051,Cannibalized Christian, pour all ingredients into a large cocktail glass add more cherry coke if desired stir and serve     herbal liqueur    bourbon whiskey    almond liqueur     cherry cola
1052,Chambord Frost, pour both ingredients into a cocktail shaker halffilled with ice cubes shake well strain into an oldfashioned or rocks glass and serve     raspberry liqueur    lemon juice
1053,Creamy Kiss, mix ingredients in order cream last stir and serve     almond liqueur    irish cream    peach schnapps    cream
1054,Coffee Royale, pour the coffee into an irish coffee cup or glass add the sugar and stir to dissolve add the brandy stir again pour the cream over the back of a teaspoon over the top of the drink so that it floats and serve     hot coffee   tsp tsp sugar    brandy    cream
1055,Charro, shake ingredients in a cocktail shaker with ice strain into an oldfashioned glass     white tequila    coffee    evaporated milk
1056,Apricot Lady, in a shaker halffilled with ice cubes combine the rum apricot brandy triple sec lemon juice and egg white shake well strain into an oldfashioned glass almost filled with ice cubes garnish with the orange slice     white rum    apricot brandy   tsp triple sec    lemon juice   egg white   oranges  ice cubes
1057,Cream Sherry Sangaree, add the sugar to a highball glass add water and sherry and stir to dissolve sugar almost fill the glass with crushed ice and add club soda float the benedictine on top garnish with a lemon twist a dusting of nutmeg and cinnamon and serve     sherry    benedictine herbal liqueur   tsp superfine sugar   tsp water    club soda   pinchs nutmeg   pinchs cinnamon sugar
1058,Caribbean Barefooted, stir ingredients together in a parfait glass filled with crushed ice and serve     tropicalfruit liqueur    pineapple rum   splashs apple juice
1059,Cowgirl`s Prayer, pour the tequila and lime juice into a collins glass filled with ice cubes fill with lemonade and stir well garnish with slices of lemon and lime and serve     tequila    lime juice    lemonade
1060,Canadian Breeze, pour the whisky juice  pinejuice  apple juice lemon juice and maraschino liqueur into a cocktail shaker halffilled with ice cubes shake well and strain into an oldfashioned glass  filled with ice cubes garnish with a pineapple wedge and a mar     whiskey   tsp tsp apple juice   tbsp lemon juice   tsp maraschino liqueur
1061,Cool Operator, pour all ingredients into a blender halffilled with ice blend until thick pour into a parfait glass garnish with a melon wedge and a maraschino cherry and serve     melon liqueur    lime juice   vodka    white rum    grapefruit juice    orange juice
1062,Crow`s Nest, pour into an icefilled rocks glass and garnish with a lemon twist     gin    sherry
1063,Charger, in a shaker halffilled with ice cubes combine all of the ingredients shake well strain into a cocktail glass     dark rum    cherry brandy   lemon juice   tsp superfine sugar
1064,Chris Crush, mix all ingredients except soda with lots of ice in a shaker fill a highball glass with crushed ice and add the mixed ingredients fill up with soda    parts blue curacao liqueur   parts dry vermouth   parts gin   parts lemon juice   dashs soda water
1065,Caribbean Sunset 2, pour vodka rum and both juices into a martini shaker with ice shake until chilled pour into a collins glass over ice finish with a splash of grenadine for the sunset effect     citrus vodka    coconut rum    apple juice    orange juice   splashs grenadine syrup
1066,Cramit, fill and stir they love the name     almond liqueur    cranberry juice
1067,Apple Sl*t, pour shots in glass and add sprite to your taste     apple schnapps    citrus vodka  fill with lemonade
1068,Citrus Coke, pour half of a can of coke into a tall glass add bacardi limon and top off with the remaining coke stir and serve    parts lemon rum   parts cola
1069,Chaise Lounge, pour the bacardi limon malibu rum creme de bananes and juices into a cocktail shaker halffilled with ice cubes shake well strain into a highball glass halffilled with ice cubes and serve     lemon rum    coconut rum    creme de bananes   splashs cranberry juice   splashs orange juice   dashs apple juice
1070,Caramel Candy Apple, chill ingredients and cocktail glass combine ingredients in glass adding triple sec last     butterscotch schnapps    apple schnapps   tbsp triple sec
1071,Cranapple Cocktail, pour both ingredients into a cocktail shaker halffilled with ice cubes shake well strain into an oldfashioned glass and serve     apple schnapps    cranberry juice
1072,Chartreuse and Tonic, in glass filled with ice mix chartreuse and tonic water garnish with lime slice     herbal liqueur    tonic water  ice cubes
1073,Club Haus, pour both ingredients into a highball glass filled with ice cubes stir well garnish with an orange wedge and serve     blackberry schnapps    club soda
1074,Chunky Monkey, shake the chocolate syrup and kahlua and slowly mix in the desired amount of cottage cheese serve cold     coffee liqueur   splashs chocolate sauce   handfull cottage cheese
1075,Chump, shake ingredients in a cocktail shaker filled with ice strain into an irish coffee mug filled with crushed ice     dark rum    coffee liqueur    coffee    cream
1076,Cremat, add all ingredients to a terracotta pot on the side heat up some rum on the stove once the rum is hot light it and slowly pour it into the terracotta pot stir the beverage slowly until  of the liquid remains then serve serves  people    litres dark rum   g sugar   cinnamon sugar  coffee   lemon
1077,Coffee Orloff, prewarm a coffee mug then add tia maria and fill with coffee stir then layer creme de grand marnier on top     vodka    coffee liqueur    orange liqueur    coffee
1078,Apricot Breeze, fill hurricane glass with ice add vodka and apricot nectar to glass then fill with tonic stir     vodka    apricot nectar  fill with tonic water  ice
1079,Chicago Cocktail, rub the rim of an oldfashioned glass with lemon and dip in powdered sugar pour the brandy bitters and triple sec into a mixing glass halffilled with cracked ice stir well pour into the prepared glass and serve     brandy   dashs bitters   tsp triple sec
1080,Comfort Tiger, shake ingredients in a cocktail shaker with ice strain into a cocktail glass     brandy    peach liqueur   triple sec
1081,Chill-Out CafÃƒÂ©, combine ingredients in an irish coffee mug     almond liqueur    white creme de cacao   coffee liqueur    coffee
1082,Cappucini, make the espresso and place in a cocktail shaker halffilled with ice cubes add the vodka kahlua coffee liqueur and baileys irish cream shake vigorously and strain into a cocktail glass serve     coffee    vodka    coffee liqueur    irish cream
1083,Chocolate Chip, half fill a shaker with ice add liqueurs and top with milk shake and pour over ice     white creme de cacao    dark creme de cacao   irish cream    milk
1084,Carmel Coke, fill a rocks glass w ice add the cocacola and then the schnapps serve     butterscotch schnapps    cola
1085,Chocolate Covered Banana, pour all ingredients over ice garnish with slice of banana     creme de bananes    dark creme de cacao  fill with cream
1086,Cokaretto, fill tall glass with ice pour cocacola into glass add amaretto and stir drink with straw     almond liqueur      cola
1087,Chocolate Raspberry Cream, blend ingredients in a bar blender until smooth serve in a champagne flute     vodka    white creme de cacao    cream   scoops raspberry ice cream
1088,Chartreuse Chocolate Kiss, combine ingredients in an irish coffe mug top with whipped cream and sprinkle of chocolate shavings     herbal liqueur      hot chocolate   pinchs chocolate shavings    whipped cream
1089,Applecar, shake all ingredients with ice strain into a cocktail glass and serve     apple brandy    triple sec    lemon juice
1090,Chocolate Kiss, pour all ingredients into a cocktail shaker halffilled with ice cubes shake and strain into a martini cocktail glass and serve     coffee liqueur    irish cream   coffee liqueur    hazelnut liqueur    dark creme de cacao    cream
