,Name,text
24,Breakfast, shake well and strain into a cocktail glass sprinkle with nutmeg     red port    dark creme de cacao   tsp gold rum    lemon juice   tsp egg
25,Bourbon Toddy, soak one teaspoon or a cube of sugar with bitters in the bottom of a highball glass add a few ice cubes and pour in the whiskey and water garnish with a twist of lemon and serve     bourbon whiskey    water    bitters   tsp sugar
26,Bloody Monkey, halffill a highball glass with ice pour the grenadine around the inside of the glass and on top of the ice to give that bloody look to it next add the vodka more if you prefer then the sour apple pucker add the ginger ale and then fill with up     grenadine syrup    apple schnapps    vodka   dashs ginger ale    lemonade
27,Bitches Ain`t Shit, pour both ingredients over ice cubes in a highball glass and serve     almond liqueur
28,The Berserker, pour shot of amaretto into glass and fill with juice  pinejuice  apple juice mixing is optional     almond liqueur   glasss apple juice
29,Burnt Toasted Almond, combine all ingredients into a mixing glass with ice shake and pour including ice into a large rocks glass     vodka    coffee liqueur    almond liqueur    halfandhalf
30,Brady Brew, combine ingredients and serve over ice     canadian whisky    vodka   splashs cola     ginger ale
31,Bootlegger, pour all ingredients into an oldfashioned or rocks glass stir lightly and serve     bourbon whiskey    tequila    peach liqueur
32,Bleu Balls, mix alize bleu and hpnotiq together and shake pour the contents into the glass fill the rest of the glass with the red bull     brandy    tropicalfruit liqueur    energy soda
33,Black and Fall, stir together in a mixing glass filled with ice cubes strain into a chilled cocktail glass and serve     brandy    brandy    orange liqueur     dashs licorice liqueur
34,Arizona Aztec, pour the jose cuervo gold tequila bacardi limon rum and captain morgan rum  spiced rum into a highball glass stir well fill with cocacola stir again and serve      gold tequila     lemon rum     spiced rum     cola
35,Blue Ice Kool-Aid, float hypnotiq on vodka fill with tonic water and add the juice of one slice of lemon     tropicalfruit liqueur    vodka    tonic water   slices lemon
36,Blue Punch, shake ingredients in a cocktail shaker with ice strain into glass     exoticfruit liqueur    fruit punch
37,Bloody Beer, add equal parts of beer and clamato juice and the two dashes of tabasco mix them up sprinkle with pepper optional and serve     bitter beer    clamato juice   pinchs black peppers   dashs tabasco sauce
38,Bloody Piss, gently shake vault soda and raspberry vodka in a cocktail shaker and pour into an old fashioned glass add a splash of cranberry juice     raspberry vodka   splashs cranberry juice    energy soda
39,Between The Sheets, pour cognac rum and triple sec into an icefilled rocks glass fill with sweet and sour mix and serve     brandy    white rum   triple sec  sours
40,Blue Sky 2, pour all ingredients into a cocktail shaker halffilled with ice cubes shake well and pour everything into a hurricane glass garnish with a slice of orange add an umbrella and serve     canadian whisky    white rum    blue curacao liqueur    apple juice
41,Beautiful Side Ride, pour the cognac grand marnier and triple sec into a highball glass in that order add sweet and sour mix and sprite or up lemonlime soda both to taste serve      brandy    orange liqueur    triple sec  sours  lemonade
42,Black Stuff 2, pour creme de menthe scotch whisky kahlua coffee liqueur and baileys irish cream into a cocktail shaker halffilled with ice cubes add tea prepared with a small amount of milk and sugar as one would normally have in their tea shake well strain int     creme de menthe    scotch whiskey   coffee liqueur    irish cream      tea
43,Bourbon Black Hawk 2, in a shaker halffilled with ice cubes combine the bourbon sloe gin lemon juice and sugar shake well strain into a cocktail glass garnish with the cherry     bourbon whiskey    gin    lemon juice   tsp superfine sugar   cherry
44,Breath Taker, add ingredients to a rocks glass swirl together     canadian whisky    cinnamon schnapps
45,Apple Granny Crisp, combine all ingredients in a blender blend well and pour into a cocktail glass add whipped cream dust with cinnamon and serve     apple schnapps    brandy   irish cream   scoops ice cream   crackers    whipped cream   pinchs cinnamon sugar
46,Bronsky, pour ingredients over ice in a large brandy snifter and serve     op rum    aged tequila    sours
47,Bellwitch, shake ingredients in a cocktail shaker with ice strain into glass    gin    peach schnapps    triple sec
48,Bitch Slap, mix vodka up gin everclear and rum together over ice in a highball glass fill with lemonade and serve     vodka   splashs lemonade    gin    grain alcohol    white rum  fill with lemonade
49,Brazilian Bitch, build ingredients in order listed in a highball glass cocacola on top and serve     almond liqueur    vodka     cranberry juice   splashs cola
50,Blackberry Cola, pour into an icefilled highball glass     blackberry brandy    sherry   sherry    cola
51,Blackberry Smoothie, combine the vanilla ice cream and blackberry brandy in a blender blend until smooth pour into a hurricane glass and serve     blackberry brandy   cupss ice cream
52,Blackberry Tequila, pour tequila creme de cassis and lemon juice into a cocktail shaker halffilled with ice cubes shake well pour contents into a highball glass and serve     tequila    blackcurrant liqueur    lemon juice
53,Buddy Rich, build the stoli raspberry vodka kahlua coffee liqueur chambord raspberry liqueur and frangelico hazelnut liqueur into a highball glass filled with ice cubes top with halfandhalf and serve     raspberry vodka    coffee liqueur   raspberry liqueur    hazelnut liqueur    halfandhalf
54,Bullshot, combine vodka and beef boullion with four ice cubes in a mixing glass add salt and pepper to taste stir and strain into a chilled wine glass     vodka    beef bouillon  salt  pepper
55,Butterscotch Martini, combine butterscotch schnapps and vanilla vodka in a shaker half filled with ice cubes strain into a cocktail glass     vanilla vodka    butterscotch schnapps
56,Apple Kiss, mix all adding cream last     apple vodka    apple schnapps    cream
57,B-2, pour all ingredients into an oldfashioned glass  filled with ice cubes stir and serve     coffee liqueur    hazelnut liqueur    vanilla vodka    irish cream    halfandhalf
58,B-52 2, pour the grand marnier kahlua coffee liqueur and baileys irish cream into a cocktail shaker halffilled with ice cubes shake well strain into a cocktail glass and serve     orange liqueur    coffee liqueur   irish cream
59,Bahama Mama NC, pour all ingredients into a cocktail shaker and shake well pour into a pinacolada glass filled with crushed or cubed ice and serve     white rum    banana liqueur    coconut rum    apple juice    orange juice   dashs grenadine syrup
60,B-52 3, shake ingredients in a cocktail shaker with ice pour over ice in an oldfashioned glass and serve     orange liqueur    chocolate liqueur   irish cream
61,Babymama Drama, mix  bananas juice  pinejuice  apple juice and stoli with ice strain into test tube float      banana schnapps    op rum   strawberry vodka    apple juice
62,Bacardi Buck, pour into an icefilled highball glass add the spent shell of the lemon quarter      white rum    orange liqueur    ginger ale  juice of  lemon
63,Bacardi Cocktail, in a shaker halffilled with ice cubes combine all of the ingredients shake well strain into a cocktail glass      white rum    lime juice   tsp sugar syrup   dashs grenadine syrup
64,Balmoral, in a mixing glass halffilled with ice cubes combine all of the ingredients stir well strain into a cocktail glass     scotch whiskey    sweet vermouth   dry vermouth   dashs bitters
65,Baja Side Car, shake ingredients in a cocktail shaker with ice strain into an oldfashioned glass with ice cubes     brandy    triple sec    lemon juice
66,Banana Split, combine ingredients shake and pour over ice garnish with cherries     banana liqueur    coffee liqueur  halfandhalf  fill with apple juice  cherry
67,Apple Jim, blend ingredients together in a mixing glass serve on the rocks in a cocktail glass     bourbon whiskey    apple juice
68,Batida de Pina, blend with cracked ice until smooth and pour into a chilled double oldfashioned glass garnish with a sprig of mint     white rum   cupss pineapples   tsp superfine sugar
69,Be Sweet, add a few ice cubes and fill the glass with ginger ale    cl whiskey   cl orange liqueur  ginger ale
70,Beachcomber, place sugar in a saucer rub the rim of a cocktail glass with lime wedge and dip glass into sugar to coat rim thoroughly reserve lime in a shaker halffilled with ice cubes combine rum maraschino liqueur cherry brandy and lime juice shake wel    tsp superfine sugar    lime juice   lime    white rum   tsp maraschino liqueur   tsp cherry brandy
71,Beach Bum Bob, shake ingredients in a cocktail shaker with ice pour into glass     almond liqueur    coffee liqueur    coconut rum    vanilla vodka    halfandhalf
72,Beach Peach, shake and strain into a cordial glass halffilled with broken ice     white rum    peach brandy    peach juice    lime juice   tsp pineapple syrup
73,Beachcomber 2, pour all ingredients into a blender with crushed ice blend well pour into a highball glass dust with cinnamon and serve     vodka    white rum   strawberries   bananas    coconut milk   lime juice    grenadine syrup   pinchs cinnamon sugar
74,Beady Little Eyes, measure a collins glass full of ice into a cocktail shaker add all ingredients except ginger ale shake and pour back into glass add ginger ale and stir garnish with a lemon wedge     white rum    ginger ale    lemon juice    orange juice   lemon
75,Beam Black Bourbon, in a drink mixer place crushed ice and the black bourbon followed by the crown royal then follow these by the cola and the soda mix it up and place it in a collins glass and add a cherry then enjoy     bourbon whiskey    canadian whisky    club soda    cola    ice
76,Beam Scream, mix shots in   glass stir then drain it     cinnamon schnapps    bourbon whiskey
77,Beam and 7, pour whiskey into a highball glass filled with ice cubes add up and serve     bourbon whiskey    lemonade
