cocktail_id,name,sugar,calories
2035,"Emerald Cocktail 4",21g,187kcal
2530,"The Girl on Fire Cocktail",21g,186kcal
2704,"Holy Water Cocktail #2",21g,347kcal
3170,"Little Green Men Cocktail",21g,193kcal
3603,"Obi Wan Kenobi Cocktail",21g,248kcal
3612,"Porn Star Martini",21g,244kcal
3855,"Princess Pleasure Cocktail",21g,283kcal
3976,"Red Death",21g,239kcal
4014,Sazerac,21g,370kcal
4408,"The Tribute Cocktail",21g,196kcal
4567,"61 Imperial",21g,276kcal
4622,"American Woman cocktail",21g,215kcal
4628,"AVATAR cocktail",21g,181kcal
713,"Blue Bulldog Margarita",22g,1135kcal
2063,"Fruit Tingle Cocktail Recipe",22g,229kcal
2940,"Japanese Slipper Cocktail",22g,190kcal
3454,"Monkey Coffee Cocktail",22g,335kcal
3999,"Romance Cocktail",22g,324kcal
4253,"Shimmerita Cocktail",22g,476kcal
4393,"Tiki Tea Cocktail",22g,203kcal
4438,"Amaretto Sour",22g,223kcal
4544,136,22g,149kcal
4557,"4th of July Vodka Jello Shots",22g,216kcal
1730,"Captain Crunch Shot",23g,359kcal
1962,"Double Inception Bomb Shot",23g,346kcal
1970,"The Dark Side Martini",23g,334kcal
2534,"Grapefruit Crush Mocktail",23g,160kcal
2536,"Hurricane Cocktail",23g,517kcal
2818,"Jungle Bird",23g,261kcal
3446,"Melon Mimosa",23g,258kcal
4262,"A Big Pink Dink",23g,234kcal
4273,"A Fuzzy Thing",23g,333kcal
4529,"Wookie Juice Cocktail",23g,556kcal
4564,"5th Avenue",23g,388kcal
2291,"Fire Starter Cocktail 2",24g,356kcal
2527,"Grinch Cocktail",24g,168kcal
3451,"Master Yoda Cocktail",24g,226kcal
4218,"A Curious Feeling",24g,385kcal
4295,"A Gilligan`s Island",24g,224kcal
4476,"Wet Pussy Cocktail",24g,871kcal
4538,"Zombitini Cocktail",24g,373kcal
4577,"80s Wine Cooler",24g,189kcal
705,"Blue Skies Cocktail",25g,208kcal
1111,"Aviation Gin Riblet",25g,255kcal
2705,"Holy Water Cocktail",25g,210kcal
3860,"Qui Gon Gin Cocktail",25g,231kcal
4249,"Strawberry Sombrero Cocktail",25g,176kcal
4257,"Slow Comfortable Screw Cocktail",25g,295kcal
4272,"Tropical Oasis Cocktail",25g,421kcal
4421,"Umbreon Pokemon Cocktail",25g,216kcal
4468,"Vodka Redbull - Vodka and Redbull",25g,246kcal
4575,"80s Berry Wine Cooler",25g,188kcal
4576,"80s Orange Wine Cooler",25g,195kcal
676,"Butterfinger Cocktail",26g,283kcal
1747,"Dark Pussy",26g,276kcal
2827,"Jager Bomb Shot Recipe",26g,155kcal
2834,"Jolly Rancher",26g,193kcal
3441,"Mai Tai Cocktail",26g,274kcal
4460,"Virgin Strawberry Daiquiri",26g,138kcal
4473,"A Pimp Named Slickback",26g,693kcal
4548,"100 Miles per Hour",26g,333kcal
4570,7-Nut,26g,199kcal
4645,"Boom Boom Lemon Cocktail",26g,225kcal
2287,"Fuzzy Navel Cocktail",27g,257kcal
2288,"French Martini",27g,231kcal
2297,"Flaming Lamborghini",27g,352kcal
2706,"Hear Me Roar Cocktail",27g,158kcal
3991,"Red Rudolph Cocktail",27g,195kcal
3998,"Red Hot Santa Tini",27g,449kcal
4656,"Bulbasaur Pokemon Cocktail",27g,205kcal
704,"Blue Goose Cocktail",28g,287kcal
722,"Colt 45",28g,282kcal
1716,"Candy Cane Cocktail",28g,261kcal
2292,"Firestarter Cocktail",28g,297kcal
3179,"Mason Jar Spiked Lemonade",28g,247kcal
4578,"80`s Peach Wine Cooler",28g,198kcal
4581,"A Walk on the Moon",28g,298kcal
698,"Black Paloma Cocktail",29g,348kcal
1720,"Christmas Cookie Cocktail",29g,296kcal
1969,"Darth Maultini",29g,388kcal
2046,"Flareon Pokemon Cocktail",29g,160kcal
2543,"Hand Grenade Cocktail",29g,548kcal
2819,"Jolteon Pokemon Cocktail",29g,231kcal
3449,"Mockingjay Smash Cocktail",29g,315kcal
3992,"Russian Qualude Cocktail",29g,461kcal
4623,"American Leroy Cocktail",29g,361kcal
1573,"Classic Amaretto Sour",30g,281kcal
1976,"Eevee Pokemon Cocktail",30g,321kcal
2295,"Floating Yoda Cocktail",30g,414kcal
3038,"Leg Spreader (Nice) Cocktail Recipe",30g,268kcal
4418,"U.S.S. BUTTERSCOTCH SHAKE",30g,294kcal
4469,"Venom Cocktail",30g,293kcal
1968,"Darth's Cherry Fairy Cocktail",31g,255kcal
3531,"Ocean Breeze Cocktail",31g,294kcal
3838,"Pom Pom Cocktail",31g,479kcal
4457,"Vanilla Creamsicle Cocktail",31g,313kcal
2695,"Harlem Nights Cocktail",32g,591kcal
2950,"Jolly Rancher Cocktail",32g,304kcal
3172,"Midori Illusion Cocktail Recipe",32g,264kcal
3458,"Nutella and Baileys martini",32g,528kcal
4587,A-Bomb,32g,357kcal
2312,"Glaceon Pokemon Cocktail",33g,334kcal
3628,"Purple Wet Dream",33g,264kcal
4534,"Yoda Poop Cocktail",33g,440kcal
2703,"Harrison Ford Cocktail",34g,575kcal
2713,"Irish Trash Can Cocktail",34g,349kcal
3030,"LAMINGTON COCKTAIL 2",34g,342kcal
4011,"Mason Jar Summer Sangria",34g,394kcal
4551,"A Saturday Afternoon",34g,368kcal
4565,"6am Sunrise",35g,322kcal
3525,"Nutella Cocktail",36g,358kcal
4340,"A Kiss Goodnight",36g,301kcal
699,"Banana Monkey Cocktail",37g,351kcal
3450,"Midori Sour Cocktail",37g,186kcal
3035,"Liquid Marijuana Cocktail",38g,312kcal
3848,"The Panem-anian Soother",38g,1136kcal
4569,"7 Coconuts",38g,299kcal
4329,"A Kissed Buttery Nipple",39g,464kcal
4384,"A Bitter Canadian",39g,290kcal
4427,"Vegas Bomb Shot",39g,224kcal
4517,"A Southern Screw",41g,418kcal
4586,"A1 Cocktail",41g,557kcal
677,"Butterfinger Cocktail #2",42g,300kcal
1966,"Death Star Cocktail",42g,421kcal
4351,"A Lark`s Tropical Heaven",42g,344kcal
3453,"Midori Lemonade",43g,219kcal
4306,"A Few Of My Favorite Things",43g,532kcal
3604,"Ours is the Fury Cocktail",44g,273kcal
2298,"Family Duty Honor Cocktail",45g,263kcal
693,"Blood Orange Cosmopolitan Cocktail",46g,740kcal
3178,"Mason Jar Margarita",47g,302kcal
4269,"Toblerone Cocktail Recipe",55g,504kcal
3173,"Miami Vice Cocktail",62g,500kcal
4563,"57 Chevy",62g,686kcal
4554,"3 Fingers of Ron Burgundy",66g,391kcal
4573,"A Very Berry Surprise",66g,774kcal
4584,A-Rang-A-Tang,69g,440kcal
1960,"District 12 Punch Cocktail",70g,356kcal
4032,"Strawberry Margarita Jello Shots",70g,1058kcal
1748,"Dickheads Delight",72g,741kcal
2275,"Fans Cocktail",76g,1096kcal
727,"Charmander Pokemon Cocktail",77g,620kcal
4506,"A Short Trip To Hell",78g,641kcal
4644,"Blueberry Infused Vodka Lemonade ",79g,1529kcal
4552,"209 East Cocktail",80g,1099kcal
3171,"Long Island Iced Tea infused Watermelon",96g,968kcal
2817,"Liquid Marijuana Jungle Juice",97g,648kcal
3442,"Mae West Martini",117g,998kcal
1727,"Chocolate Sin Cocktail",151g,1511kcal
4609,"Apples and Oranges Martini",165g,2036kcal
4555,"3 for a Dollar Special",194g,1525kcal
4242,"Sugar Syrup Cocktail Recipe",250g,952kcal
